,ID,emb_dim1,emb_dim2,emb_dim3,emb_dim4
16120,16120,-0.03086809,0.031245863,-0.006127649,0.0022079567
16137,16137,-0.113094874,-0.0048984634,-0.005353796,-0.06569098
16408,16408,0.01729742,0.02842719,0.026047787,-0.06218518
16631,16631,-0.047168873,0.04919661,0.035130583,0.01062995
16633,16633,0.017857973,-0.019995773,-0.0008679197,-0.048681997
16651,16651,-0.04713411,-0.011928383,0.0076729264,0.0131383585
16685,16685,0.054438073,-0.019751452,0.019116532,0.060705617
16731,16731,0.029971164,0.04608781,0.016203744,-0.0005334941
16744,16744,0.096092224,0.010915234,0.003054919,-0.024850354
16810,16810,0.027129278,-0.07402116,0.009985501,-0.056612574
16828,16828,0.04885513,-0.045128345,0.0004842654,-0.02548473
16848,16848,0.048476882,0.041739643,0.0005230083,-0.052176423
16863,16863,0.012417218,0.013480284,0.040379755,0.028248874
16868,16868,-0.010513836,-0.004969656,0.035286907,-0.0054737474
16869,16869,0.038650718,0.015559366,-0.022620197,0.07809221
16870,16870,-0.059098236,0.050000414,-0.03933346,0.028533049
16873,16873,-0.03614504,-0.08953947,0.002087697,0.00082415284
16888,16888,-0.07679615,-0.04193586,-0.015061128,0.018494045
16891,16891,0.02664654,-0.051280394,0.010206398,0.03977578
16893,16893,-0.08304618,0.028857939,-0.006577265,-0.010597399
16896,16896,-0.033150155,-0.0034247641,-0.031863302,-0.05011271
16899,16899,0.04892384,-0.04025786,-0.01795591,-0.0023976676
16902,16902,0.02526088,0.044218782,-0.0018725186,0.032630764
16905,16905,0.036916196,-0.008301336,-0.03949179,-0.013414959
16922,16922,0.028563634,-0.056167107,-0.02058405,0.06625942
16993,16993,-0.026594607,0.0077593597,-0.01802485,-0.0051473817
17127,17127,-0.012194419,-0.00901038,-0.04426822,-0.0065307366
17129,17129,-0.030226698,0.092418864,-0.03651252,0.039131284
17130,17130,-0.07205469,0.0045535057,-0.059389118,-0.05868731
17171,17171,0.01903937,-0.049806263,-0.054110054,-0.019901846
17177,17177,0.0114521,-0.022547856,0.041659765,-0.0055219545
17249,17249,0.01735953,-0.019414386,0.010938636,-0.01989329
17302,17302,0.037856046,0.014817152,-0.04655042,0.0070636757
17735,17735,0.012335253,0.0028300842,-0.021894045,0.027476158
18301,18301,0.022406256,-0.07762366,0.032830894,0.0033599653
18934,18934,-0.0029449852,0.021342192,0.005574895,-0.04670754
19041,19041,-0.04920529,-0.014625003,-0.006220596,0.02064888
19083,19083,-0.02421526,-0.041419286,0.015804745,0.016989062
19104,19104,0.0071628755,-0.08278917,0.05080937,-0.043962054
19124,19124,0.003023468,0.042735998,-0.02881415,-0.0010312907
19136,19136,-0.017122779,0.03768976,-0.008785742,-0.009988439
19435,19435,-0.006334213,-0.06275637,0.0014150311,0.05819235
19438,19438,0.031290594,-0.030894425,-0.05722607,-0.0029450106
19442,19442,0.029121218,-0.0065301443,0.077818274,0.00025168678
19446,19446,0.06415751,-0.04873583,0.093986385,0.0244218
19447,19447,0.022004526,0.039829355,-0.004309044,-0.052555203
19448,19448,-0.01795683,0.032155763,-0.0021535642,0.02375121
19636,19636,-0.061293036,-0.037463997,0.021579884,-0.02764192
19671,19671,0.0033332778,-0.0041054147,0.0015505903,-0.00929922
19694,19694,0.0037869941,0.0032839768,0.016208807,-0.02839879
19708,19708,-0.075919226,-0.048400342,0.050104275,-0.07955371
19726,19726,-0.035327803,-0.011338431,-0.0059415735,0.052175276
19946,19946,-0.036926173,0.05016691,-0.030115398,0.04560035
19998,19998,0.025385391,-0.018485377,0.01867044,0.048618317
20003,20003,0.025768433,-0.06503663,0.0033881525,-0.015486947
20005,20005,-0.0497408,-0.03950956,-0.10855061,0.0071531893
20137,20137,-0.0019502873,-0.013905509,0.036227684,0.039659247
20188,20188,0.08399132,-0.037674535,0.010001526,0.017085586
20378,20378,0.0007784825,0.026412407,0.013995003,0.029242659
20586,20586,-0.07648363,0.028141093,0.0638829,0.01551585
20590,20590,0.026447898,-0.0023519215,-0.0032610535,0.044507086
20726,20726,-0.023715401,0.039747987,-0.009429194,-0.05035241
20730,20730,0.01988108,-0.03410943,-0.05086386,-0.014733482
20731,20731,0.03954934,0.020313326,-0.013070621,0.03763782
20913,20913,-0.02863409,0.0063532214,0.021508923,-0.0613574
20920,20920,-0.045638748,-0.034999207,-0.009539028,-0.02829416
20941,20941,-0.04282396,-0.021735003,0.032347113,-0.01858326
20967,20967,-0.04488329,0.039321784,-0.044326868,-0.046079993
21145,21145,-0.007839695,-0.013484167,0.041198034,0.039297942
21151,21151,-0.013400575,-0.07151221,0.07944511,0.043301653
21156,21156,-0.013006498,0.030827835,0.0104074795,0.05287967
21157,21157,-0.09494152,0.0060081272,0.056451943,-0.05901186
21185,21185,-0.058889125,-0.021044629,0.04449611,-0.0064581456
21231,21231,-0.073681735,0.022678915,-0.01980521,0.017721366
21233,21233,0.003132306,-0.024478365,0.0053330064,0.032179523
21354,21354,-0.023212807,-0.052883513,0.004961241,-0.0074343192
21689,21689,0.0043070116,-0.04185102,0.012407964,0.033098243
21690,21690,-0.059009958,-0.004190998,-0.0075069354,0.044618044
21696,21696,-0.039313592,0.00014534457,0.011535147,-0.05131645
21698,21698,0.036703076,-0.043472435,-0.033230472,-0.0148148425
21700,21700,0.07241896,0.026290506,0.014332212,-0.04737253
21701,21701,0.045892715,0.028263357,0.07145126,-0.029069487
21702,21702,0.011571437,-0.047044467,0.04733055,0.047092494
21748,21748,-0.021104513,-0.054847714,0.047507163,-0.063179255
21756,21756,-0.014137278,-0.0050847824,-0.077450864,0.005967064
21761,21761,-0.015112724,-0.037975613,-0.026301427,-0.009697791
21763,21763,-0.0024912588,0.036505844,0.040625162,0.004646197
21769,21769,-0.04412303,0.009833792,0.043554187,0.04878593
21770,21770,-0.004794685,-0.036892567,-0.042523082,-0.0016463534
21771,21771,-0.04877087,-0.019226303,-0.059491318,-0.010407877
21779,21779,-0.024067571,-0.015120803,0.06201674,0.060882088
21780,21780,-0.03726991,-0.040695786,0.00030264963,0.04981335
21782,21782,-0.052489866,0.013029872,0.06813192,-0.013858797
21829,21829,0.028450027,0.07380207,-0.025307305,-0.075496964
21837,21837,0.03626458,-0.049503542,-0.0033870658,-0.014050355
21850,21850,0.049721688,-0.039441336,-0.039569933,0.020445902
21854,21854,-0.0175654,0.036418024,0.06250145,-0.06535881
21856,21856,-0.014050284,0.0043583536,-0.05990208,0.02690251
21859,21859,0.01691581,-0.0112849325,0.045639455,0.005593695
21861,21861,0.0153530715,-0.0071045603,0.041085895,-0.038338225
21872,21872,-0.020066774,0.068499885,-0.03825786,-0.021342972
21876,21876,0.07224513,-0.06316469,-0.034345586,0.0494602
21887,21887,-0.020183006,-0.021645656,0.048188213,-0.027395261
21890,21890,0.06292065,-0.022397667,0.06878511,0.09693475
21891,21891,0.035781715,-0.01195777,0.04520511,-0.05519041
21892,21892,-0.029865801,0.04821278,0.04636709,0.05832923
21905,21905,-0.008124497,0.0099863745,0.060955305,0.04643687
21910,21910,0.007884912,-0.04481167,-0.012788673,-0.0025366715
21913,21913,0.003254209,0.042485755,-0.016529866,-0.030114407
21935,21935,0.063466296,-0.0092689125,0.032038216,-0.019393293
21942,21942,-0.039400194,0.040106986,-0.06920433,-0.00299588
21949,21949,-0.07143202,-0.0012938452,0.05194005,-0.028648963
21954,21954,-0.013167299,0.053952258,-0.0018328315,0.039300345
21972,21972,-0.05682946,-0.07420637,-0.023964128,0.017738286
21981,21981,0.0051157796,0.05404426,0.026527975,-0.004819162
21988,21988,-0.010739069,-0.012577129,0.05166027,0.021740338
21989,21989,0.044234075,-0.009758675,0.024662847,-0.0039006944
22068,22068,-0.06130402,-0.0776526,-0.008726688,0.063160576
22085,22085,-0.02695781,-0.028206741,-0.010344088,-0.009537242
22088,22088,-0.015349389,0.016905798,-0.0029804632,0.052386988
22092,22092,0.06848,-0.01837029,0.026040625,-0.021619715
22093,22093,0.0371165,-0.013085877,-0.0076523945,0.034520898
22097,22097,0.027683962,0.015293393,0.023063485,0.0011034831
22102,22102,-0.030410869,-0.036271665,-0.02140306,0.021723099
22112,22112,-0.0785883,0.049981248,0.0031970902,0.0021535251
22123,22123,-0.03679208,-0.060704812,0.0013463974,0.05979706
22131,22131,0.040028155,0.011895313,-0.006804762,0.021576865
22132,22132,-0.021545382,-0.017849367,-0.07069394,0.058967523
22137,22137,0.002418998,-0.01570042,-0.075315796,-0.0004175547
22139,22139,0.035591573,-0.012079069,-0.014625787,0.03364538
22140,22140,-0.01974421,0.003237799,-0.032115694,0.030589757
22141,22141,-0.088931024,0.016503673,-0.015276766,-0.085600905
22149,22149,0.01304619,0.041893836,-0.06766149,-0.021675922
22155,22155,-0.027794251,-0.0049169185,-0.004791406,-0.003337495
22185,22185,-0.06436043,0.016818518,-0.031359907,-0.0011167004
22186,22186,-0.08150471,-0.039673842,-0.030303095,-0.030066982
22187,22187,0.043387022,0.006494999,-0.008873843,-0.033721447
22196,22196,-0.049626894,0.0043871636,0.08937051,-0.040427648
22202,22202,0.0012045858,-0.010605346,-0.0015768396,-0.001797451
22203,22203,-0.06665957,-0.04726657,-0.009038077,-0.04191682
22205,22205,-0.025999831,-0.006455352,0.014589126,-0.008149247
22208,22208,0.03357258,0.0024995883,0.021493258,0.021253806
22210,22210,-0.014534072,0.021285294,-0.0065743895,-0.041601352
22217,22217,-0.020230541,-0.040074207,0.045824263,0.025614448
22227,22227,0.03208858,-0.026217127,0.02631623,0.046648566
22237,22237,-0.03404275,-0.014696642,-0.022948468,-0.048951995
22239,22239,-0.06729571,0.040076632,0.018883584,-0.052048575
22249,22249,-0.081569746,0.05599037,0.006831322,-0.022848569
22250,22250,0.017697662,-0.017920965,-0.0014376818,-0.060762312
22264,22264,0.01562088,0.007335493,-0.01784222,0.01983699
22268,22268,-0.037681162,0.034477122,-0.012501243,0.046990007
22285,22285,-0.020381236,0.01384954,0.023847142,0.001082531
22304,22304,0.07033917,-0.00051047624,0.05364607,0.07642075
22318,22318,-0.008873715,-0.019231675,-0.012346454,0.031732958
22320,22320,0.0043904157,-0.041129593,0.009910796,-0.05132451
22327,22327,0.06128751,-0.034256797,0.010774506,-0.044508707
22328,22328,-0.037640583,-0.056844335,-0.048304282,0.068617836
22594,22594,0.016277645,-0.040591702,-0.041829787,-0.01490626
22598,22598,0.043449745,0.0007892693,0.0130719105,-0.060880806
22620,22620,-0.0353326,0.023405362,-0.0015305032,0.027651155
22622,22622,-0.028062284,0.019673593,-0.014534527,-0.013611978
22628,22628,0.02962878,-0.034127284,0.01175604,0.03790975
22673,22673,-0.067892894,-0.032660376,0.019388225,-0.012321808
22745,22745,-0.04979067,0.030826544,-0.0041501475,-0.04903686
22749,22749,-0.07386979,-0.014405472,-0.0337356,-0.06589627
22805,22805,-0.045006543,-0.0035138407,-0.036319207,-0.000619322
22823,22823,-0.05605028,-0.037171867,-0.050395474,0.019748863
23097,23097,-0.0039549493,-0.0057410514,0.03339597,0.02804611
23163,23163,0.016499044,0.0032961108,0.0127059575,0.045135252
23190,23190,-0.015505899,-0.06376835,-0.049117997,0.018683653
23191,23191,-0.010434456,0.033326615,0.0434351,0.032097112
23197,23197,-0.052890196,-0.06405708,-0.022266053,-0.045645654
23284,23284,0.0385879,-0.008214041,-0.007432869,-0.029391784
23345,23345,-0.0010497746,0.0077666393,0.060292054,-0.05566273
23350,23350,-0.0630387,-0.0010027734,-0.028671755,-0.060821332
23351,23351,0.04111229,-0.024537224,-0.023742648,0.022706455
23354,23354,0.03595044,-0.09705367,-0.07119725,0.025319008
23355,23355,0.020519251,-0.035413247,0.0012778218,0.03403492
23361,23361,-0.0012482628,-0.044341158,0.0372887,-0.04788753
23365,23365,0.023589138,0.05813136,-0.023305085,-0.04886719
23366,23366,-0.0070598186,0.042487327,-0.017309321,-0.02214776
23367,23367,-0.08137994,0.008508083,-0.040649153,0.010336446
24001,24001,0.015637929,0.016588163,-0.0048627397,-0.043377213
24303,24303,0.07883405,-0.050904416,0.0062149223,-0.010695097
24305,24305,-0.06619756,0.0063929996,-0.034435757,-0.03354448
24312,24312,0.026312532,-0.059563193,0.057808384,0.0024915794
24314,24314,-0.008140692,-0.02185945,-0.04079752,-0.082908385
24316,24316,-0.023219543,-0.011937652,-0.018932205,-0.050701875
24331,24331,0.018086646,-0.038417123,-0.020971691,0.023316946
24480,24480,0.005497517,0.0647653,-0.05911082,0.056004316
24606,24606,-0.01355341,-0.06031893,0.073775895,-0.054428607
24661,24661,0.0072236503,0.0066150366,-0.0066145477,-0.07238829
24977,24977,0.020820001,-0.012652921,0.046730652,-0.06508657
25314,25314,-0.0149978325,-0.0075674793,-0.029798325,-0.014614805
25318,25318,-0.005719882,0.051606867,0.06541336,0.060755074
25320,25320,0.011658967,0.032418814,-0.0093593225,0.0033975616
25441,25441,-0.067832574,-0.027826449,-0.065270685,-0.0339715
25488,25488,0.008325036,0.014619381,0.027403979,0.04540644
25500,25500,0.023841644,-0.035451397,-0.0014231218,-0.041947465
25508,25508,-0.049009737,-0.10861904,0.01563157,-0.013713143
26105,26105,-0.051939446,0.021245321,-0.06372423,0.00540679
26263,26263,-0.023237856,0.020906238,0.056602485,-0.010553977
26456,26456,-0.029365102,-0.03833238,-0.019101337,0.04370821
26485,26485,-0.0018000714,0.04712571,0.040031206,0.0042626485
26669,26669,-0.0699102,0.055317502,-0.02874734,0.0151627585
26721,26721,0.0733608,-0.075127415,0.063682176,-0.036357
26764,26764,0.015605034,-0.011853526,0.022269484,0.047116194
27300,27300,-0.016611876,-0.0030420616,0.035704054,0.026647026
27471,27471,0.0070240838,-0.022528598,0.017278386,-0.0008176203
27554,27554,-0.011024553,0.0072374856,0.049650867,-0.0044154143
27585,27585,-0.012091485,-0.048374992,0.017201368,-0.013147855
27684,27684,0.016432557,0.0125493,-0.034493964,-0.044257365
27807,27807,-0.044113144,0.05851083,0.031021282,-0.032598477
27862,27862,0.023479596,0.06252478,-0.04311392,-0.01721379
28005,28005,0.015652478,0.012944232,0.033956278,0.058520336
28007,28007,-0.023116544,-0.004879478,0.019877339,-0.026733456
28010,28010,0.012601757,0.04325533,-0.004261254,-0.040952627
28018,28018,0.014259186,-0.055186454,0.0035677925,0.021364786
28020,28020,0.0064769927,0.02394386,-0.027477507,0.016853886
28021,28021,0.04629011,0.034114424,0.022646317,0.049785413
28022,28022,-0.021661717,0.02273357,-0.0112383375,0.010611529
28023,28023,-0.029679732,0.03137432,0.02604863,-0.03780008
28026,28026,0.01463742,0.023514891,-0.020357428,0.021296049
28029,28029,-0.016445149,0.03172152,0.025856283,0.02329508
28030,28030,-0.03315511,0.028941043,0.04518209,0.06738607
28031,28031,-0.04725457,0.056262568,-0.0074313325,-0.014606505
28396,28396,-0.00063610537,-0.035302233,0.017545471,0.033387274
28434,28434,0.038404487,-0.02020227,0.021211637,0.07108614
28817,28817,-0.007469447,0.0010463648,-0.04871994,0.0050725467
28818,28818,0.016816756,0.07178167,0.05199832,-0.019683622
28827,28827,-0.061192185,0.0166317,-0.053653993,-0.04294055
28832,28832,-0.0141075365,0.031209957,0.045505438,-0.04690789
28833,28833,-0.024105813,-0.027486986,0.0030056129,0.02631795
28841,28841,-0.057078835,-0.03654764,0.020891229,-0.023619365
28849,28849,-0.026100881,0.018038811,-0.036702678,0.03364657
28851,28851,-0.02160804,0.01538517,-0.053335037,0.024887033
28855,28855,-0.057255603,-0.017111385,-0.062937535,-0.011804938
28857,28857,0.027540999,0.062923804,0.0043315343,0.019075306
28860,28860,-0.028916722,-0.048925884,0.030150589,-0.05522086
28862,28862,0.027915608,0.0026003518,-0.01892994,0.064631246
28868,28868,-0.032298874,0.08086994,0.024553046,0.018935023
28870,28870,0.061708335,0.101038575,-0.05705683,0.06314053
28935,28935,0.05947581,-0.030818386,0.010682578,0.03982163
28936,28936,-0.039004523,0.016997386,0.045331877,-0.0073867626
28984,28984,-0.062293094,0.017166732,-0.01515578,0.040375672
29035,29035,0.013808011,-0.01815742,0.022746019,-0.02200101
29117,29117,-0.064558074,0.06878281,-0.05379048,-0.07296341
29208,29208,0.010369105,-0.07463644,0.054706745,0.02236046
29260,29260,0.090326056,-0.022463832,0.069207646,0.08292462
29311,29311,0.0452267,0.034271177,-0.018003214,0.021931797
29316,29316,-0.08470776,0.046446975,0.018884927,-0.041455004
29377,29377,-0.01780324,-0.016087733,-0.0002329126,-0.0010229126
29401,29401,0.08701868,-0.016424546,0.017011233,0.03273229
29424,29424,0.008064045,0.029196966,-0.043816566,-0.050870318
29559,29559,-0.0028887168,0.0098053105,-0.0151392,-0.010863472
29566,29566,0.03447063,0.017989125,0.022653583,0.018558588
29594,29594,0.021582592,-0.014464398,-0.0013846823,-0.078914784
29604,29604,-0.005033429,0.0013700661,0.053821065,-0.060768824
29605,29605,0.053697422,0.049689714,-0.024895614,-0.053629998
29608,29608,0.062413476,0.0013510799,-0.055208784,0.032000285
29609,29609,0.06623511,-0.017652407,0.0049356176,-0.0066741207
29619,29619,-0.04394111,-0.026664829,0.022680206,0.02400587
29835,29835,-0.03405607,0.040608212,-0.021730829,-0.051248606
29962,29962,0.009509933,0.04370295,0.030977989,-0.075376034
30263,30263,-0.01618928,0.025668703,-0.009005894,0.062419042
30332,30332,-0.024359781,0.016258813,-0.035687342,0.007763379
30333,30333,-0.00869123,-0.03881632,0.050412543,-0.0067574484
30584,30584,0.049892783,-0.082103215,-0.010647978,0.017834269
30593,30593,-0.012356735,0.011536984,-0.011370657,0.031038834
30638,30638,0.0010613345,-0.017442383,-0.010502941,-0.02566162
30687,30687,-0.020162333,-0.0016184404,-0.012847542,-0.042896006
30690,30690,-0.015477972,-0.020661453,0.03996485,0.06308841
30767,30767,0.04108622,-0.011721746,0.024651326,0.05210245
30782,30782,0.033406686,-0.023520177,0.040949628,0.008017732
30853,30853,-0.009818345,0.047592457,-0.004177641,0.014334225
30873,30873,-0.02629505,-0.006185399,-0.024913613,0.04494774
30882,30882,0.025330612,-0.01590866,0.020726027,-0.011551848
30891,30891,0.02505018,-0.04244023,0.008794381,0.063976415
31067,31067,0.03683685,0.05549478,-0.046116546,-0.0050376896
31316,31316,-0.06540901,-0.030538209,0.06956259,-0.0025252197
31645,31645,0.057331942,0.008428782,0.05462322,0.0018220497
32084,32084,-0.0072952993,-0.035679556,0.040500794,-0.010690093
32089,32089,-0.036757432,-0.026700668,0.028701305,0.008778674
32092,32092,0.027702933,-0.025422124,-0.006322862,0.015445535
32094,32094,0.038418006,-0.030678475,-0.041606463,0.033914674
