game_id,club_id,own_goals,own_position,own_manager_name,opponent_id,opponent_goals,opponent_position,opponent_manager_name,hosting,is_win
3229404,2722,1,20.0,Luigi Di Biagio,1005,2,16.0,Fabio Liverani,Away,0
3229437,1025,2,11.0,Siniša Mihajlović,1038,1,16.0,Claudio Ranieri,Away,1
3229446,19,0,20.0,Diego López,46,6,3.0,Antonio Conte,Away,0
3229489,252,0,17.0,Davide Nicola,416,3,15.0,Moreno Longo,Away,0
3229497,1025,1,10.0,Siniša Mihajlović,5,5,6.0,Stefano Pioli,Away,0
3229500,1005,1,18.0,Fabio Liverani,252,2,17.0,Davide Nicola,Away,0
3240342,1105,2,,Luciano Foschi,862,4,,Michele Marcolini,Away,0
3240358,7197,0,,Giuseppe Raffaele,4172,3,,Luca D'Angelo,Away,0
3242083,4554,1,,Stefano Vecchi,410,3,,Igor Tudor,Away,0
3433191,6195,2,7.0,Gennaro Gattuso,130,0,14.0,Fabio Liverani,Away,1
3433196,398,2,10.0,Simone Inzaghi,1390,0,14.0,Eusebio Di Francesco,Away,1
3433203,800,4,2.0,Gian Piero Gasperini,416,2,16.0,Marco Giampaolo,Away,1
3433245,46,1,7.0,Antonio Conte,800,1,6.0,Gian Piero Gasperini,Away,0
3433262,800,0,7.0,Gian Piero Gasperini,3522,0,12.0,Vincenzo Italiano,Away,0
3433273,46,3,2.0,Antonio Conte,6574,0,3.0,Roberto De Zerbi,Away,1
3433299,800,1,8.0,Gian Piero Gasperini,506,1,3.0,Andrea Pirlo,Away,0
3433311,506,4,3.0,Andrea Pirlo,130,0,15.0,Fabio Liverani,Away,1
3433312,4083,1,20.0,Giovanni Stroppa,1038,3,10.0,Claudio Ranieri,Away,0
3433331,410,1,13.0,Luca Gotti,506,4,3.0,Andrea Pirlo,Away,0
3433348,6574,1,7.0,Roberto De Zerbi,506,3,3.0,Andrea Pirlo,Away,0
3433360,12,0,5.0,Paulo Fonseca,398,3,7.0,Simone Inzaghi,Away,0
3433366,4083,1,20.0,Giovanni Stroppa,430,2,12.0,Cesare Prandelli,Away,0
3433380,5,2,1.0,Stefano Pioli,1025,1,15.0,Siniša Mihajlović,Away,1
3433394,276,0,9.0,Ivan Juric,410,2,11.0,Luca Gotti,Away,0
3433399,506,0,3.0,Andrea Pirlo,6195,1,6.0,Gennaro Gattuso,Away,0
3433409,12,0,4.0,Paulo Fonseca,4171,0,12.0,Filippo Inzaghi,Away,0
3433432,416,0,17.0,Davide Nicola,398,0,6.0,Simone Inzaghi,Away,0
3433471,1038,1,10.0,Claudio Ranieri,5,1,2.0,Stefano Pioli,Away,0
3433492,3522,1,14.0,Vincenzo Italiano,1025,4,11.0,Siniša Mihajlović,Away,0
3433507,506,1,3.0,Andrea Pirlo,430,1,14.0,Giuseppe Iachini,Away,0
3433531,6195,4,4.0,Gennaro Gattuso,3522,1,17.0,Vincenzo Italiano,Away,1
3433538,506,3,5.0,Andrea Pirlo,6574,1,8.0,Roberto De Zerbi,Away,1
3441891,1415,2,,Massimo Paci,1408,1,,Vincenzo Manzo,Away,1
3441892,4146,2,,Ivan Javorcic,1210,1,,Alessandro Dal Canto,Away,1
3460762,6692,1,,Simone Banchieri,4084,3,,Roberto Venturato,Away,0
3614535,749,1,11.0,Aurelio Andreazzoli,506,0,14.0,Massimiliano Allegri,Away,1
3614537,1390,1,12.0,Leonardo Semplici,5,4,4.0,Stefano Pioli,Away,0
3614570,398,1,7.0,Maurizio Sarri,416,1,9.0,Ivan Juric,Away,0
3614598,276,2,15.0,Igor Tudor,5,3,2.0,Stefano Pioli,Away,0
3614633,5,2,2.0,Stefano Pioli,12,1,4.0,José Mourinho,Away,1
