game_id,competition_id,season,round,date,home_club_id,away_club_id,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,url,home_club_formation,away_club_formation,home_club_name,away_club_name,aggregate,competition_type
3081256,IT1,2018,23. Matchday,2019-02-09,130,46,0,1,12.0,3.0,Roberto D'Aversa,Luciano Spalletti,Ennio Tardini,18155.0,Massimiliano Irrati,https://www.transfermarkt.co.uk/parma-calcio-1913_inter-milan/index/spielbericht/3081256,4-3-3 Defending,4-2-3-1,Parma Calcio 1913,Football Club Internazionale Milano S.p.A.,0:1,domestic_league
3081278,IT1,2018,25. Matchday,2019-02-24,130,6195,0,4,12.0,2.0,Roberto D'Aversa,Carlo Ancelotti,Ennio Tardini,18478.0,Daniele Chiffi,https://www.transfermarkt.co.uk/parma-calcio-1913_ssc-napoli/index/spielbericht/3081278,4-3-3 Attacking,4-4-2,Parma Calcio 1913,Società Sportiva Calcio Napoli,0:4,domestic_league
3081298,IT1,2018,27. Matchday,2019-03-10,6574,6195,1,1,12.0,2.0,Roberto De Zerbi,Carlo Ancelotti,Mapei Stadium - Città del Tricolore,14969.0,Gianluca Manganiello,https://www.transfermarkt.co.uk/us-sassuolo_ssc-napoli/index/spielbericht/3081298,5-4-1,4-3-3 Attacking,US Sassuolo,Società Sportiva Calcio Napoli,1:1,domestic_league
3229276,IT1,2019,12. Matchday,2019-11-09,19,416,0,4,20.0,13.0,Fabio Grosso,Walter Mazzarri,Mario Rigamonti,13500.0,Marco Guida,https://www.transfermarkt.co.uk/brescia-calcio_torino-fc/index/spielbericht/3229276,4-3-1-2,3-5-2 flat,Brescia Calcio,Torino Calcio,0:4,domestic_league
3229312,IT1,2019,15. Matchday,2019-12-08,6574,1390,2,2,11.0,4.0,Roberto De Zerbi,Rolando Maran,Mapei Stadium - Città del Tricolore,12666.0,Luca Pairetto,https://www.transfermarkt.co.uk/us-sassuolo_cagliari-calcio/index/spielbericht/3229312,4-2-3-1,4-3-1-2,US Sassuolo,Cagliari Calcio,2:2,domestic_league
3242081,CIT,2019,Third Round,2019-08-16,130,607,3,1,,,Roberto D'Aversa,Alessio Dionisi,Ennio Tardini,3865.0,Paolo Valeri,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/3242081,4-3-3 Attacking,4-3-1-2,Parma Calcio 1913,Venezia Football Club,3:1,domestic_cup
3614569,IT1,2021,5. Matchday,2021-09-22,3522,506,2,3,16.0,12.0,Thiago Motta,Massimiliano Allegri,Alberto Picco,5700.0,Gianluca Aureliano,https://www.transfermarkt.co.uk/spezia-calcio_juventus-fc/index/spielbericht/3614569,4-2-3-1,4-4-2 double 6,Spezia Calcio,Juventus Football Club,2:3,domestic_league
3614704,IT1,2021,17. Matchday,2021-12-12,6574,398,2,1,11.0,9.0,Alessio Dionisi,Maurizio Sarri,Mapei Stadium - Città del Tricolore,5100.0,Simone Sozza,https://www.transfermarkt.co.uk/us-sassuolo_ss-lazio/index/spielbericht/3614704,4-2-3-1,4-3-3 Attacking,US Sassuolo,Società Sportiva Lazio S.p.A.,2:1,domestic_league
3614886,IT1,2021,35. Matchday,2022-04-30,3522,398,3,4,16.0,6.0,Thiago Motta,Maurizio Sarri,Alberto Picco,10000.0,Luca Pairetto,https://www.transfermarkt.co.uk/spezia-calcio_ss-lazio/index/spielbericht/3614886,4-2-3-1,4-3-3 Attacking,Spezia Calcio,Società Sportiva Lazio S.p.A.,3:4,domestic_league
3844892,IT1,2022,16. Matchday,2023-01-04,6574,1038,1,2,16.0,18.0,Alessio Dionisi,Dejan Stankovic,Mapei Stadium - Città del Tricolore,11782.0,Fabio Maresca,https://www.transfermarkt.co.uk/us-sassuolo_uc-sampdoria/index/spielbericht/3844892,4-3-3 Attacking,3-4-1-2,US Sassuolo,UC Sampdoria,1:2,domestic_league
3845034,IT1,2022,30. Matchday,2023-04-14,3522,398,0,3,17.0,2.0,Leonardo Semplici,Maurizio Sarri,Alberto Picco,9500.0,Massimiliano Irrati,https://www.transfermarkt.co.uk/spezia-calcio_ss-lazio/index/spielbericht/3845034,4-3-3 Attacking,4-3-3 Attacking,Spezia Calcio,Società Sportiva Lazio S.p.A.,0:3,domestic_league
3845108,IT1,2022,38. Matchday,2023-06-03,749,398,0,2,14.0,2.0,Paolo Zanetti,Maurizio Sarri,Carlo Castellani,11545.0,Luca Massimi,https://www.transfermarkt.co.uk/fc-empoli_ss-lazio/index/spielbericht/3845108,4-2-3-1,4-3-3 Attacking,Empoli Football Club S.r.l.,Società Sportiva Lazio S.p.A.,0:2,domestic_league
2358332,CIT,2013,Second Round,2013-08-11,1103,1005,2,4,,,Domenico Toscano,Francesco Moriero,Libero Liberati,,Claudio Gavillucci,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2358332,3-5-2 flat,5-4-1 Diamond,,Unione Sportiva Lecce,2:4,domestic_cup
2253954,CIT,2012,Second Round,2012-08-12,4333,4102,1,3,,,Francesco Moriero,Daniele Tacchini,Carlo Zecchini,632.0,Claudio Gavillucci,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2253954,,,,AC Carpi,1:3,domestic_cup
2255403,CIT,2012,Third Round,2012-08-18,5587,1038,5,4,,,Piero Braglia,Ciro Ferrara,Romeo Menti,3988.0,Domenico Celi,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2255403,,,,UC Sampdoria,5:4,domestic_cup
2901879,CIT,2017,Second Round,2017-08-06,2331,18950,1,0,,,Walter Novellino,Gaetano Auteri,Partenio-Adriano Lombardi,1528.0,Antonello Balice,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2901879,4-1-4-1,3-4-3,,,1:0,domestic_cup
2253933,CIT,2012,Second Round,2012-08-12,3037,4172,6,4,,,Fulvio Pea,Alessandro Pane,Euganeo,1492.0,Gennaro Palazzino,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2253933,,,,,6:4,domestic_cup
